ROTA,origem,destino,distancia_km,distancia_texto
SÃO PAULO/SP:MIRASSOL/SP,SÃO PAULO/SP,MIRASSOL/SP,453.693,454 km
IGARAPÉ/MG:BELO VALE/MG,IGARAPÉ/MG,BELO VALE/MG,82.201,"82,2 km"
GRAVATAÍ/RS:MOGI DAS CRUZES/SP,GRAVATAÍ/RS,MOGI DAS CRUZES/SP,1173.101,1.173 km
SÃO PAULO/SP:UBERABA/MG,SÃO PAULO/SP,UBERABA/MG,482.533,483 km
BARBACENA/MG:BETIM/MG,BARBACENA/MG,BETIM/MG,192.477,192 km
ITABIRITO/MG:IGARAPÉ/MG,ITABIRITO/MG,IGARAPÉ/MG,94.245,"94,2 km"
TAUBATÉ/SP:SÃO BERNARDO DO CAMPO/SP,TAUBATÉ/SP,SÃO BERNARDO DO CAMPO/SP,159.688,160 km
CURVELO/MG:CAÇAPAVA/SP,CURVELO/MG,CAÇAPAVA/SP,667.493,667 km
TELÊMACO BORBA/PR:SÃO PAULO/SP,TELÊMACO BORBA/PR,SÃO PAULO/SP,595.86,596 km
GRAVATAÍ/RS:UBERLÂNDIA/MG,GRAVATAÍ/RS,UBERLÂNDIA/MG,1674.187,1.674 km
BOM SUCESSO/MG:BETIM/MG,BOM SUCESSO/MG,BETIM/MG,172.5,172 km
DRACENA/SP:SÃO PAULO/SP,DRACENA/SP,SÃO PAULO/SP,670.135,670 km
CARANGOLA/MG:IGARAPÉ/MG,CARANGOLA/MG,IGARAPÉ/MG,369.648,370 km
UBÁ/MG:RIO DE JANEIRO/RJ,UBÁ/MG,RIO DE JANEIRO/RJ,309.346,309 km
IPATINGA/MG:BETIM/MG,IPATINGA/MG,BETIM/MG,238.417,238 km
BETIM/MG:IPATINGA/MG,BETIM/MG,IPATINGA/MG,241.447,241 km
TANABI/SP:SÃO PAULO/SP,TANABI/SP,SÃO PAULO/SP,479.539,480 km
IBIRITÉ/MG:IGARAPÉ/MG,IBIRITÉ/MG,IGARAPÉ/MG,36.032,"36,0 km"
CAXAMBU/MG:SUZANO/SP,CAXAMBU/MG,SUZANO/SP,290.088,290 km
MOEDA/MG:CAÇAPAVA/SP,MOEDA/MG,CAÇAPAVA/SP,495.807,496 km
CAMPO BELO/MG:RIO DE JANEIRO/RJ,CAMPO BELO/MG,RIO DE JANEIRO/RJ,491.402,491 km
CARMO DO CAJURU/MG:RIO DE JANEIRO/RJ,CARMO DO CAJURU/MG,RIO DE JANEIRO/RJ,532.215,532 km
MIGUELÓPOLIS/SP:SÃO PAULO/SP,MIGUELÓPOLIS/SP,SÃO PAULO/SP,442.388,442 km
CLÁUDIO/MG:BELO HORIZONTE/MG,CLÁUDIO/MG,BELO HORIZONTE/MG,139.855,140 km
RIO DE JANEIRO/RJ:BURITIZEIRO/MG,RIO DE JANEIRO/RJ,BURITIZEIRO/MG,786.192,786 km
GUANHÃES/MG:BETIM/MG,GUANHÃES/MG,BETIM/MG,275.232,275 km
BONFINÓPOLIS DE MINAS/MG:RIO DE JANEIRO/RJ,BONFINÓPOLIS DE MINAS/MG,RIO DE JANEIRO/RJ,985.155,985 km
BICAS/MG:MESQUITA/RJ,BICAS/MG,MESQUITA/RJ,209.626,210 km
SÃO FRANCISCO/MG:RIO DE JANEIRO/RJ,SÃO FRANCISCO/MG,RIO DE JANEIRO/RJ,1002.314,1.002 km
CAÇAPAVA/SP:OURO PRETO/MG,CAÇAPAVA/SP,OURO PRETO/MG,513.773,514 km
BETIM/MG:ABAETÉ/MG,BETIM/MG,ABAETÉ/MG,180.649,181 km
TUBARÃO/SC:OSASCO/SP,TUBARÃO/SC,OSASCO/SP,804.918,805 km
VILA VELHA/ES:GUARULHOS/SP,VILA VELHA/ES,GUARULHOS/SP,918.804,919 km
ENGENHEIRO CALDAS/MG:SÃO PAULO/SP,ENGENHEIRO CALDAS/MG,SÃO PAULO/SP,870.743,871 km
CARANGOLA/MG:RIO DE JANEIRO/RJ,CARANGOLA/MG,RIO DE JANEIRO/RJ,383.557,384 km
SÃO PAULO/SP:TELÊMACO BORBA/PR,SÃO PAULO/SP,TELÊMACO BORBA/PR,594.532,595 km
PIRAPORA/MG:BETIM/MG,PIRAPORA/MG,BETIM/MG,352.089,352 km
GUARACIABA/MG:RIO DE JANEIRO/RJ,GUARACIABA/MG,RIO DE JANEIRO/RJ,418.623,419 km
GUARANÉSIA/MG:SÃO PAULO/SP,GUARANÉSIA/MG,SÃO PAULO/SP,299.704,300 km
ESMERALDAS/MG:RIO DE JANEIRO/RJ,ESMERALDAS/MG,RIO DE JANEIRO/RJ,489.134,489 km
BETIM/MG:ALFENAS/MG,BETIM/MG,ALFENAS/MG,313.186,313 km
RIO DO SUL/SC:SÃO JOSÉ DOS PINHAIS/PR,RIO DO SUL/SC,SÃO JOSÉ DOS PINHAIS/PR,280.175,280 km
SANTO ANTÔNIO DO AMPARO/MG:BETIM/MG,SANTO ANTÔNIO DO AMPARO/MG,BETIM/MG,155.838,156 km
MATOZINHOS/MG:BELO HORIZONTE/MG,MATOZINHOS/MG,BELO HORIZONTE/MG,48.473,"48,5 km"
SETE LAGOAS/MG:BELO HORIZONTE/MG,SETE LAGOAS/MG,BELO HORIZONTE/MG,78.651,"78,7 km"
RIO DE JANEIRO/RJ:ITABIRA/MG,RIO DE JANEIRO/RJ,ITABIRA/MG,550.336,550 km
VILA VELHA/ES:SÃO PAULO/SP,VILA VELHA/ES,SÃO PAULO/SP,934.151,934 km
IGARATINGA/MG:BETIM/MG,IGARATINGA/MG,BETIM/MG,69.219,"69,2 km"
TEIXEIRAS/MG:RIO DE JANEIRO/RJ,TEIXEIRAS/MG,RIO DE JANEIRO/RJ,381.009,381 km
ALFENAS/MG:BETIM/MG,ALFENAS/MG,BETIM/MG,313.079,313 km
MATIAS BARBOSA/MG:BELO HORIZONTE/MG,MATIAS BARBOSA/MG,BELO HORIZONTE/MG,279.571,280 km
BETIM/MG:ÁGUAS FORMOSAS/MG,BETIM/MG,ÁGUAS FORMOSAS/MG,622.491,622 km
JUNDIAÍ/SP:UBERLÂNDIA/MG,JUNDIAÍ/SP,UBERLÂNDIA/MG,534.431,534 km
RIO DE JANEIRO/RJ:TUPACIGUARA/MG,RIO DE JANEIRO/RJ,TUPACIGUARA/MG,1060.065,1.060 km
SANTA LUZIA/MA:BELO HORIZONTE/MG,SANTA LUZIA/MA,BELO HORIZONTE/MG,2321.833,2.322 km
TIJUCAS/SC:SÃO PAULO/SP,TIJUCAS/SC,SÃO PAULO/SP,654.078,654 km
SÃO ROMÃO/MG:BETIM/MG,SÃO ROMÃO/MG,BETIM/MG,502.221,502 km
IGARAPÉ/MG:MANHUAÇU/MG,IGARAPÉ/MG,MANHUAÇU/MG,325.317,325 km
JUNQUEIRÓPOLIS/SP:SÃO PAULO/SP,JUNQUEIRÓPOLIS/SP,SÃO PAULO/SP,648.911,649 km
PRESIDENTE EPITÁCIO/SP:SÃO PAULO/SP,PRESIDENTE EPITÁCIO/SP,SÃO PAULO/SP,643.675,644 km
ITATIAIUÇU/MG:IGARAPÉ/MG,ITATIAIUÇU/MG,IGARAPÉ/MG,29.124,"29,1 km"
CAMPESTRE/MG:BETIM/MG,CAMPESTRE/MG,BETIM/MG,381.02,381 km
UBERLÂNDIA/MG:POÇOS DE CALDAS/MG,UBERLÂNDIA/MG,POÇOS DE CALDAS/MG,473.334,473 km
PRADOS/MG:RIO DE JANEIRO/RJ,PRADOS/MG,RIO DE JANEIRO/RJ,327.34,327 km
IACANGA/SP:SÃO PAULO/SP,IACANGA/SP,SÃO PAULO/SP,379.64,380 km
ITABIRA/MG:BELO HORIZONTE/MG,ITABIRA/MG,BELO HORIZONTE/MG,106.746,107 km
CAPITÓLIO/MG:RIO DE JANEIRO/RJ,CAPITÓLIO/MG,RIO DE JANEIRO/RJ,634.811,635 km
BARBACENA/MG:SÃO PAULO/SP,BARBACENA/MG,SÃO PAULO/SP,527.154,527 km
GALILÉIA/MG:RIO DE JANEIRO/RJ,GALILÉIA/MG,RIO DE JANEIRO/RJ,661.171,661 km
JACUÍ/MG:RIO DE JANEIRO/RJ,JACUÍ/MG,RIO DE JANEIRO/RJ,602.675,603 km
CLÁUDIO/MG:RIO DE JANEIRO/RJ,CLÁUDIO/MG,RIO DE JANEIRO/RJ,477.243,477 km
RIO DE JANEIRO/RJ:PRATÁPOLIS/MG,RIO DE JANEIRO/RJ,PRATÁPOLIS/MG,751.938,752 km
BUENÓPOLIS/MG:BETIM/MG,BUENÓPOLIS/MG,BETIM/MG,281.963,282 km
MATIAS BARBOSA/MG:RIO DE JANEIRO/RJ,MATIAS BARBOSA/MG,RIO DE JANEIRO/RJ,167.014,167 km
PIRAPORA/MG:BELO HORIZONTE/MG,PIRAPORA/MG,BELO HORIZONTE/MG,349.571,350 km
LAJEADO/RS:SOROCABA/SP,LAJEADO/RS,SOROCABA/SP,1201.539,1.202 km
BELO HORIZONTE/MG:CAMPOS GERAIS/MG,BELO HORIZONTE/MG,CAMPOS GERAIS/MG,307.76,308 km
JURUAIA/MG:RIO DE JANEIRO/RJ,JURUAIA/MG,RIO DE JANEIRO/RJ,559.714,560 km
BICAS/MG:RIO DE JANEIRO/RJ,BICAS/MG,RIO DE JANEIRO/RJ,211.886,212 km
ITABERÁ/SP:SÃO PAULO/SP,ITABERÁ/SP,SÃO PAULO/SP,324.848,325 km
ITARARÉ/SP:SÃO PAULO/SP,ITARARÉ/SP,SÃO PAULO/SP,345.696,346 km
SÃO GOTARDO/MG:BELO HORIZONTE/MG,SÃO GOTARDO/MG,BELO HORIZONTE/MG,306.292,306 km
BETIM/MG:GUARULHOS/SP,BETIM/MG,GUARULHOS/SP,539.838,540 km
BETIM/MG:PASSOS/MG,BETIM/MG,PASSOS/MG,316.062,316 km
FLORESTAL/MG:SÃO PAULO/SP,FLORESTAL/MG,SÃO PAULO/SP,584.295,584 km
CAMANDUCAIA/MG:RIO DE JANEIRO/RJ,CAMANDUCAIA/MG,RIO DE JANEIRO/RJ,501.289,501 km
PATROCÍNIO/MG:BETIM/MG,PATROCÍNIO/MG,BETIM/MG,389.698,390 km
SÃO PAULO/SP:TATUÍ/SP,SÃO PAULO/SP,TATUÍ/SP,142.326,142 km
SETE LAGOAS/MG:IGARAPÉ/MG,SETE LAGOAS/MG,IGARAPÉ/MG,96.341,"96,3 km"
IGARAPÉ/MG:SANTA LUZIA/MG,IGARAPÉ/MG,SANTA LUZIA/MG,62.28,"62,3 km"
PITANGUI/MG:RIO DE JANEIRO/RJ,PITANGUI/MG,RIO DE JANEIRO/RJ,554.504,555 km
MEDINA/MG:RIO DE JANEIRO/RJ,MEDINA/MG,RIO DE JANEIRO/RJ,932.731,933 km
RIBEIRÃO DAS NEVES/MG:SUZANO/SP,RIBEIRÃO DAS NEVES/MG,SUZANO/SP,620.62,621 km
DUMONT/SP:SÃO PAULO/SP,DUMONT/SP,SÃO PAULO/SP,333.582,334 km
ITABIRITO/MG:CAÇAPAVA/SP,ITABIRITO/MG,CAÇAPAVA/SP,577.93,578 km
ANDRADAS/MG:GUARULHOS/SP,ANDRADAS/MG,GUARULHOS/SP,227.235,227 km
PORTO XAVIER/RS:SÃO PAULO/SP,PORTO XAVIER/RS,SÃO PAULO/SP,1322.687,1.323 km
BRUMADINHO/MG:IGARAPÉ/MG,BRUMADINHO/MG,IGARAPÉ/MG,23.814,"23,8 km"
ALFENAS/MG:GUARULHOS/SP,ALFENAS/MG,GUARULHOS/SP,300.845,301 km
SÃO JOÃO NEPOMUCENO/MG:RIO DE JANEIRO/RJ,SÃO JOÃO NEPOMUCENO/MG,RIO DE JANEIRO/RJ,239.344,239 km
BOA ESPERANÇA/MG:SÃO PAULO/SP,BOA ESPERANÇA/MG,SÃO PAULO/SP,379.924,380 km
